name,version,homepage,summary,license
turbolinks,5.2.1,https://github.com/turbolinks/turbolinks,Turbolinks makes navigating your web application faster,MIT
turbolinks-source,5.2.0,https://github.com/turbolinks/turbolinks-source-gem,Turbolinks JavaScript assets,MIT
twitter,7.0.0,http://sferik.github.com/twitter/,A Ruby interface to the Twitter API.,MIT
typhoeus,1.4.0,https://github.com/typhoeus/typhoeus,Parallel HTTP library on top of libcurl multi.,MIT
tzinfo,1.2.9,https://tzinfo.github.io,Daylight savings aware timezone library,MIT
uber,0.1.0,https://github.com/apotonick/uber,"Gem-authoring tools like generic builders, dynamic options and more.",MIT
uglifier,4.2.0,http://github.com/lautis/uglifier,Ruby wrapper for UglifyJS JavaScript compressor,MIT
unf_ext,0.0.8.1,https://github.com/knu/ruby-unf_ext,Unicode Normalization Form support library for CRuby,MIT
unicode-display_width,1.8.0,https://github.com/janlelis/unicode-display_width,Determines the monospace display width of a string in Ruby.,MIT
useragent,0.16.10,https://github.com/gshutler/useragent,HTTP User Agent parser,MIT
voight_kampff,1.1.4,https://github.com/biola/Voight-Kampff,Voight-Kampff bot detection,MIT
warden,1.2.9,https://github.com/hassox/warden,An authentication library compatible with all Rack-based frameworks,MIT
webmock,3.14.0,http://github.com/bblimke/webmock,Library for stubbing HTTP requests in Ruby.,MIT
ansi,1.5.0,http://rubyworks.github.com/ansi,ANSI at your fingertips!,BSD 2-Clause
byebug,11.1.3,https://github.com/deivid-rodriguez/byebug,Ruby fast debugger - base + CLI,BSD 2-Clause
domain_name,0.5.20190701,https://github.com/knu/ruby-domain_name,Domain Name manipulation library for Ruby,BSD 2-Clause
etc,1.0.1,https://github.com/ruby/etc,Provides access to information typically stored in UNIX /etc directory.,BSD 2-Clause
fileutils,1.1.0,https://github.com/ruby/fileutils,"Several file utility methods for copying, moving, removing, etc.",BSD 2-Clause
forwardable,1.2.0,https://github.com/ruby/forwardable,Provides delegation of specified methods to a designated object.,BSD 2-Clause
mocha,1.2.1,http://gofreerange.com/mocha/docs,Mocking and stubbing library,BSD 2-Clause
racc,1.6.0,https://i.loveruby.net/en/projects/racc/,Racc is a LALR(1) parser generator,BSD 2-Clause
rexml,3.2.5,https://github.com/ruby/rexml,An XML toolkit for Ruby,BSD 2-Clause
ruby2_keywords,0.0.5,https://github.com/ruby/ruby2_keywords,Shim library for Module#ruby2_keywords,BSD 2-Clause
